,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,iconType,phones,country
44,False,112716,3,г Минусинск (Красноярский край) улица Тимирязева 17А,Ежедневно 10:00-21:00,,Img112716,3370,Минусинск,minusinsk,,"53.688301,91.676605",0,6,{},0,0,6257375,True,,,Russia
45,False,16452,3,г. Подольск мкр. Климовск ул. Железнодорожная 1,Ежедневно 10:00-21:00,,Img16452,5424,Климовск,klimovsk,,"55.357770985,37.525787301",0,6,{},0,0,5739062,True,,,Russia
46,False,17568,3,г. Зеленоград (Москва) к.250,Ежедневно 10:00-21:00,,Img17568,2368791,Зеленоград,zelenograd,,"56.006327,37.20292",0,6,{},0,0,6225091,True,,,Russia
47,False,17571,3,"г. Иркутск (Иркутская область), переулок МОПРа, д. 5",Ежедневно 10:00-21:00,,Img17571,4423,Иркутск,irkutsk,,"52.292248,104.293057",0,6,{},0,0,6225242,True,,,Russia
48,False,16268,3,"г. Прокопьевск (Кемеровская область), Институтская улица, д. 20",Ежедневно 10:00-21:00,,Img16268,4518,Прокопьевск,prokopevsk,,"53.873739,86.646731",0,6,{},0,0,5655976,True,,,Russia
49,False,110191,3,г Астрахань (Астраханская область) Набережная Приволжского Затона 4,Ежедневно 10:00-21:00,,Img110191,3929,Астрахань,astrahan,,"46.344213,48.019276",0,6,{},0,0,6256336,True,,,Russia
50,False,104469,3,"г. Москва, улица Малыгина, д. 1с2",Ежедневно 10:00-21:00,,Img104469,77,Москва,moskva,Москва,"55.876228,37.701307",0,6,{},0,0,6254923,True,,,Russia
51,False,103090,3,"г. Нововоронеж (Воронежская область), Алёновская улица, д. 46",Ежедневно 10:00-21:00,,Img103090,4389,Нововоронеж,novovoronezh,,"51.326856,39.202937",0,6,{},0,0,6254546,True,,,Russia
52,False,17317,3,"г. Москва, Митинская улица, д. 36",Ежедневно 10:00-21:00,,Img17317,77,Москва,moskva,Москва,"55.846110109,37.363451281",0,6,{},0,0,6153738,True,,,Russia
53,False,15531,3,"г. село Икряное (Астраханская область), Советская улица, д. 22А",Ежедневно 10:00-21:00,,Img15531,47297,Икряное,ikryanoe,,"46.097526251,47.738083541",0,6,{},0,0,5466016,True,,,Russia
